epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
65,1259.29,0.68066,1.48298,0.00358,0.98691,1,0.995,0.86189,0.70272,1.84364,0.00834,0.000523586,0.000523586,0.000523586
66,1278.18,0.66909,1.78688,0.004,0.98649,1,0.995,0.86483,0.69824,1.83637,0.00827,0.000509438,0.000509438,0.000509438
67,1297.3,0.59673,1.42539,0.00349,0.98634,1,0.995,0.86483,0.72305,1.85537,0.00863,0.000495291,0.000495291,0.000495291
68,1316.23,0.73262,1.65815,0.00372,0.986,1,0.995,0.869,0.73101,1.87793,0.00885,0.000481144,0.000481144,0.000481144
69,1334.91,0.70735,1.84394,0.00405,0.98641,1,0.995,0.86067,0.64701,1.82081,0.00785,0.000466997,0.000466997,0.000466997
70,1353.66,0.64329,1.63493,0.00391,0.98637,1,0.995,0.87317,0.60452,1.76677,0.00728,0.00045285,0.00045285,0.00045285
71,1372.26,0.6646,1.30098,0.00333,0.98615,1,0.995,0.87317,0.61845,1.73751,0.00751,0.000438703,0.000438703,0.000438703
72,1390.99,0.61319,1.5093,0.00381,0.98635,1,0.995,0.87317,0.64968,1.71383,0.00787,0.000424556,0.000424556,0.000424556
73,1409.5,0.69046,1.3706,0.00369,0.9867,1,0.995,0.87317,0.65158,1.6664,0.00763,0.000410409,0.000410409,0.000410409
74,1428.07,0.7096,1.37381,0.00353,0.98639,1,0.995,0.87317,0.66072,1.6529,0.0078,0.000396262,0.000396262,0.000396262
75,1446.46,0.726,1.48321,0.00429,0.9858,1,0.995,0.87317,0.67992,1.66265,0.00814,0.000382115,0.000382115,0.000382115
76,1465.03,0.65842,1.37261,0.00355,0.98566,1,0.995,0.87317,0.68669,1.66002,0.00831,0.000367967,0.000367967,0.000367967
77,1483.61,0.73302,1.64472,0.00382,0.9854,1,0.995,0.87317,0.65596,1.58676,0.008,0.00035382,0.00035382,0.00035382
78,1502.04,0.72636,1.34786,0.00378,0.98539,1,0.995,0.87317,0.64091,1.54671,0.00782,0.000339673,0.000339673,0.000339673
79,1520.59,0.61144,1.81797,0.0036,0.98506,1,0.995,0.87317,0.63599,1.51935,0.00775,0.000325526,0.000325526,0.000325526
80,1539.15,0.61796,1.33319,0.00342,0.98562,1,0.995,0.87317,0.6268,1.50585,0.00756,0.000311379,0.000311379,0.000311379
